reaction_ID,lower_flux_bound,upper_flux_bound
HMR_6615,-1000,1000
HMR_6616,-1000,1000
HMR_4635,-1000,1000
HMR_3931,0,1000
HMR_3970,0,1000
HMR_4008,-1000,1000
HMR_4056,0,1000
HMR_4177,0,1000
HMR_4179,0,1000
HMR_4210,0,1000
HMR_4484,0,1000
HMR_4485,-1000,1000
HMR_4510,0,1000
HMR_4512,-1000,1000
HMR_4579,-1000,1000
HMR_4643,0,1000
HMR_4672,0,1000
HMR_6623,0,1000
HMR_6627,-1000,1000
HMR_8072,0,1000
HMR_3965,0,1000
HMR_3967,-1000,1000
HMR_3968,-1000,1000
HMR_4024,-1000,1000
HMR_4026,-1000,1000
HMR_4054,0,1000
HMR_4136,0,1000
HMR_4344,-1000,1000
HMR_4601,0,1000
HMR_4641,0,1000
HMR_4680,-1000,1000
HMR_7717,0,1000
HMR_7863,-1000,1000
HMR_7864,-1000,1000
HMR_7865,-1000,1000
HMR_7866,-1000,1000
HMR_7867,-1000,1000
HMR_7868,-1000,1000
HMR_7869,-1000,1000
HMR_7870,-1000,1000
HMR_7871,-1000,1000
HMR_7872,-1000,1000
HMR_7873,-1000,1000
HMR_7874,-1000,1000
HMR_7875,-1000,1000
HMR_7876,-1000,1000
HMR_7878,-1000,1000
HMR_7881,-1000,1000
HMR_7882,-1000,1000
HMR_7883,-1000,1000
HMR_7884,-1000,1000
HMR_7885,-1000,1000
HMR_7886,-1000,1000
HMR_7887,-1000,1000
HMR_7888,-1000,1000
HMR_7889,-1000,1000
HMR_7890,-1000,1000
HMR_7891,-1000,1000
HMR_7892,-1000,1000
HMR_7893,-1000,1000
HMR_8443,0,1000
HMR_8445,0,1000
HMR_8448,-1000,1000
HMR_8449,-1000,1000
HMR_8450,-1000,1000
HMR_8451,-1000,1000
HMR_8452,-1000,1000
HMR_8453,-1000,1000
HMR_8454,-1000,1000
HMR_8455,-1000,1000
HMR_8456,-1000,1000
HMR_8457,-1000,1000
HMR_8458,-1000,1000
HMR_8459,-1000,1000
HMR_8460,-1000,1000
HMR_8462,-1000,1000
HMR_8463,-1000,1000
HMR_8464,-1000,1000
HMR_8465,-1000,1000
HMR_8466,-1000,1000
HMR_8467,-1000,1000
HMR_8468,-1000,1000
HMR_8469,-1000,1000
HMR_8470,-1000,1000
HMR_8471,-1000,1000
HMR_8472,-1000,1000
HMR_8477,-1000,1000
HMR_8478,-1000,1000
HMR_8481,-1000,1000
HMR_8482,0,1000
HMR_8483,0,1000
HMR_8485,0,1000
HMR_8486,-1000,1000
HMR_8487,0,1000
HMR_3827,-1000,1000
HMR_3870,0,1000
HMR_3903,0,1000
HMR_4287,0,1000
HMR_4693,-1000,1000
HMR_6780,0,1000
HMR_3833,0,1000
HMR_3835,0,1000
HMR_3837,0,1000
HMR_3838,-1000,1000
HMR_4077,0,1000
HMR_4212,0,1000
HMR_4422,0,1000
HMR_4607,0,1000
HMR_4776,0,1000
HMR_4777,0,1000
HMR_4778,0,1000
HMR_4779,0,1000
HMR_4780,0,1000
HMR_4781,0,1000
