reaction_ID,lower_flux_bound,upper_flux_bound
HMR_8470,-1000,1000
HMR_8471,-1000,1000
HMR_8472,-1000,1000
HMR_8477,-1000,1000
HMR_8480,0,1000
HMR_8482,0,1000
HMR_8483,0,1000
HMR_8485,0,1000
HMR_8486,-1000,1000
HMR_3802,-1000,1000
HMR_3804,-1000,1000
HMR_3827,-1000,1000
HMR_3829,-1000,1000
HMR_3870,0,1000
HMR_3890,0,1000
HMR_3892,0,1000
HMR_3903,0,1000
HMR_4109,-1000,1000
HMR_4118,0,1000
HMR_4287,0,1000
HMR_6780,0,1000
HMR_3807,-1000,1000
HMR_3833,0,1000
HMR_3835,0,1000
HMR_3837,0,1000
HMR_3838,-1000,1000
HMR_3895,0,1000
HMR_3897,0,1000
HMR_4073,0,1000
HMR_4075,0,1000
HMR_4077,0,1000
HMR_4212,0,1000
HMR_4422,0,1000
HMR_4776,0,1000
HMR_4778,0,1000
HMR_4779,0,1000
HMR_4780,0,1000
HMR_4781,0,1000
HMR_4784,0,1000
HMR_4786,0,1000
HMR_4787,0,1000
HMR_6965,-1000,1000
HMR_6966,-1000,1000
HMR_8098,0,1000
HMR_8427,-1000,1000
HMR_8603,0,1000
HMR_8604,0,1000
HMR_8605,0,1000
HMR_8609,0,1000
HMR_8610,0,1000
HMR_0460,0,1000
HMR_3839,-1000,1000
HMR_3841,-1000,1000
HMR_3843,0,1000
HMR_3856,0,1000
HMR_4467,0,1000
HMR_4584,-1000,1000
HMR_4696,0,1000
HMR_4697,0,1000
HMR_4698,0,1000
HMR_4792,-1000,1000
HMR_6409,-1000,1000
HMR_7702,-1000,1000
HMR_8442,0,1000
HMR_4737,0,1000
HMR_4739,0,1000
HMR_6974,0,1000
HMR_6975,0,1000
HMR_6976,0,1000
HMR_6977,0,1000
HMR_6978,0,1000
HMR_8025,0,1000
HMR_8026,0,1000
HMR_8027,0,1000
HMR_8029,0,1000
HMR_3164,0,1000
HMR_3166,0,1000
HMR_3885,-1000,1000
HMR_8563,0,1000
HMR_3935,-1000,1000
HMR_8530,-1000,1000
HMR_3211,0,1000
HMR_4797,0,1000
HMR_6713,0,1000
HMR_6714,0,1000
HMR_6725,-1000,1000
HMR_6726,0,1000
HMR_6768,0,1000
HMR_6807,-1000,1000
HMR_6808,0,1000
HMR_3875,0,1000
HMR_3877,0,1000
HMR_3879,0,1000
HMR_3912,-1000,1000
HMR_3920,-1000,1000
HMR_3995,-1000,1000
HMR_3996,-1000,1000
HMR_4323,0,1000
HMR_6519,-1000,1000
HMR_8066,-1000,1000
HMR_8067,-1000,1000
HMR_8068,-1000,1000
HMR_8069,-1000,1000
HMR_8685,0,1000
HMR_3868,0,1000
HMR_3869,0,1000
HMR_3933,-1000,1000
HMR_3937,0,1000
HMR_4116,0,1000
HMR_4120,0,1000
HMR_4121,0,1000
HMR_4328,0,1000
HMR_4329,0,1000
HMR_8770,0,1000
HMR_4735,-1000,1000
HMR_7991,0,1000
HMR_3759,0,1000
HMR_4531,0,1000
HMR_4532,-1000,1000
HMR_4533,0,1000
HMR_4536,-1000,1000
HMR_4628,0,1000
HMR_4629,0,1000
HMR_8367,0,1000
HMR_8368,0,1000
HMR_8371,0,1000
HMR_8372,0,1000
HMR_8377,0,1000
HMR_5130,0,1000
HMR_5131,0,1000
HMR_5132,0,1000
HMR_5133,0,1000
HMR_5134,0,1000
HMR_5135,0,1000
HMR_5136,0,1000
HMR_5137,0,1000
HMR_5138,0,1000
HMR_5139,0,1000
HMR_5140,0,1000
HMR_5141,0,1000
HMR_5142,0,1000
HMR_5143,0,1000
HMR_5145,0,1000
HMR_5146,0,1000
HMR_5147,0,1000
HMR_5148,0,1000
HMR_5149,0,1000
HMR_5150,0,1000
HMR_7436,0,1000
HMR_8256,0,1000
HMR_1532,-1000,1000
HMR_7278,0,1000
HMR_7580,0,1000
HMR_8692,0,1000
HMR_5155,0,1000
HMR_5174,0,1000
HMR_7617,0,1000
HMR_7618,0,1000
HMR_5266,0,1000
HMR_5269,0,1000
HMR_5270,0,1000
HMR_5407,-1000,1000
HMR_3851,0,1000
HMR_3861,0,1000
HMR_4084,0,1000
HMR_8662,-1000,1000
HMR_8663,-1000,1000
HMR_8667,-1000,1000
