reaction_ID,lower_flux_bound,upper_flux_bound
HMR_7868,-1000,1000
HMR_7869,-1000,1000
HMR_7870,-1000,1000
HMR_7871,-1000,1000
HMR_7872,-1000,1000
HMR_7873,-1000,1000
HMR_7874,-1000,1000
HMR_7875,-1000,1000
HMR_7876,-1000,1000
HMR_7878,-1000,1000
HMR_7881,-1000,1000
HMR_7882,-1000,1000
HMR_7883,-1000,1000
HMR_7884,-1000,1000
HMR_7885,-1000,1000
HMR_7886,-1000,1000
HMR_7887,-1000,1000
HMR_7888,-1000,1000
HMR_7889,-1000,1000
HMR_7890,-1000,1000
HMR_7891,-1000,1000
HMR_7892,-1000,1000
HMR_7893,-1000,1000
HMR_8083,0,1000
HMR_8085,0,1000
HMR_8087,0,1000
HMR_8444,0,1000
HMR_8445,0,1000
HMR_8448,-1000,1000
HMR_8449,-1000,1000
HMR_8450,-1000,1000
HMR_8451,-1000,1000
HMR_8452,-1000,1000
HMR_8453,-1000,1000
HMR_8454,-1000,1000
HMR_8455,-1000,1000
HMR_8456,-1000,1000
HMR_8457,-1000,1000
HMR_8458,-1000,1000
HMR_8459,-1000,1000
HMR_8460,-1000,1000
HMR_8462,-1000,1000
HMR_8463,-1000,1000
HMR_8464,-1000,1000
HMR_8465,-1000,1000
HMR_8466,-1000,1000
HMR_8467,-1000,1000
HMR_8468,-1000,1000
HMR_8469,-1000,1000
HMR_8470,-1000,1000
HMR_8471,-1000,1000
HMR_8472,-1000,1000
HMR_8473,0,1000
HMR_8482,0,1000
HMR_8483,0,1000
HMR_8485,0,1000
HMR_8486,-1000,1000
HMR_8487,0,1000
HMR_3802,-1000,1000
HMR_3804,-1000,1000
HMR_3811,0,1000
HMR_3827,-1000,1000
HMR_3862,0,1000
HMR_3870,0,1000
HMR_3890,0,1000
HMR_3892,0,1000
HMR_4115,0,1000
HMR_4118,0,1000
HMR_4172,0,1000
HMR_4197,0,1000
HMR_4287,0,1000
HMR_6780,0,1000
HMR_7642,-1000,1000
HMR_4073,0,1000
HMR_4075,0,1000
HMR_4077,0,1000
HMR_4212,0,1000
HMR_4607,0,1000
HMR_4776,0,1000
HMR_4777,0,1000
HMR_6938,-1000,1000
HMR_6965,-1000,1000
HMR_6966,-1000,1000
HMR_8603,0,1000
HMR_8604,0,1000
HMR_8605,0,1000
HMR_3843,0,1000
HMR_3856,0,1000
HMR_3883,0,1000
HMR_3974,0,1000
HMR_4198,0,1000
HMR_4200,0,1000
HMR_4696,0,1000
HMR_4697,0,1000
HMR_4698,0,1000
HMR_4792,-1000,1000
HMR_5392,0,1000
HMR_7702,-1000,1000
HMR_4428,0,1000
HMR_4429,0,1000
HMR_4430,0,1000
HMR_4431,0,1000
HMR_5338,0,1000
HMR_5339,-1000,1000
HMR_8783,0,1000
HMR_8784,0,1000
HMR_4737,0,1000
HMR_4739,0,1000
HMR_6974,0,1000
HMR_6975,0,1000
HMR_6976,0,1000
HMR_6977,0,1000
HMR_6978,0,1000
HMR_6979,0,1000
HMR_6980,0,1000
HMR_6981,0,1000
HMR_3885,-1000,1000
HMR_8563,0,1000
HMR_8564,0,1000
HMR_4681,0,1000
HMR_4682,0,1000
HMR_4683,0,1000
HMR_4685,0,1000
HMR_4686,-1000,1000
HMR_4687,-1000,1000
HMR_7701,0,1000
HMR_8530,-1000,1000
HMR_4214,0,1000
HMR_4218,0,1000
