reaction_ID,lower_flux_bound,upper_flux_bound
HMR_6808,0,1000
HMR_6817,-1000,1000
HMR_6841,-1000,1000
HMR_6849,-1000,1000
HMR_3875,0,1000
HMR_3877,0,1000
HMR_3912,-1000,1000
HMR_3920,-1000,1000
HMR_3995,-1000,1000
HMR_3996,-1000,1000
HMR_6519,-1000,1000
HMR_8066,-1000,1000
HMR_8067,-1000,1000
HMR_8068,-1000,1000
HMR_8069,-1000,1000
HMR_8682,-1000,1000
HMR_8685,0,1000
HMR_3868,0,1000
HMR_3869,0,1000
HMR_3933,-1000,1000
HMR_3937,0,1000
HMR_4116,0,1000
HMR_4120,0,1000
HMR_4121,0,1000
HMR_4176,0,1000
HMR_4324,0,1000
HMR_8769,0,1000
HMR_8771,0,1000
HMR_4078,0,1000
HMR_4079,0,1000
HMR_7993,0,1000
HMR_7137,-1000,1000
HMR_8367,0,1000
HMR_8368,0,1000
HMR_7436,0,1000
HMR_8260,0,1000
HMR_7617,0,1000
HMR_7618,0,1000
HMR_5407,-1000,1000
HMR_0710,0,1000
HMR_3957,0,1000
HMR_3958,0,1000
HMR_4111,0,1000
HMR_4112,0,1000
HMR_4113,0,1000
HMR_4139,-1000,1000
HMR_4141,-1000,1000
HMR_4145,-1000,1000
HMR_4149,0,1000
HMR_4465,0,1000
HMR_4585,-1000,1000
HMR_4586,-1000,1000
HMR_4587,-1000,1000
HMR_4588,-1000,1000
HMR_8772,0,1000
HMR_8773,-1000,1000
HMR_8775,0,1000
HMR_8777,0,1000
HMR_8778,0,1000
HMR_8779,0,1000
HMR_8782,0,1000
HMR_3975,0,1000
HMR_3977,0,1000
HMR_3979,0,1000
HMR_6911,-1000,1000
HMR_6912,0,1000
HMR_6914,0,1000
HMR_6918,0,1000
HMR_3960,0,1000
HMR_6608,-1000,1000
HMR_8410,0,1000
HMR_8413,0,1000
HMR_8415,0,1000
HMR_0188,-1000,1000
HMR_0192,-1000,1000
HMR_0196,-1000,1000
HMR_0200,-1000,1000
HMR_0204,-1000,1000
HMR_0209,-1000,1000
HMR_0213,-1000,1000
HMR_0217,-1000,1000
HMR_0226,-1000,1000
HMR_0233,-1000,1000
HMR_0237,-1000,1000
HMR_0241,-1000,1000
HMR_0245,-1000,1000
HMR_0249,-1000,1000
HMR_0255,-1000,1000
HMR_0259,-1000,1000
HMR_0263,0,1000
HMR_0267,-1000,1000
HMR_0271,-1000,1000
HMR_0275,-1000,1000
HMR_0279,-1000,1000
HMR_0283,-1000,1000
HMR_0289,-1000,1000
HMR_0293,-1000,1000
HMR_0297,-1000,1000
HMR_0301,-1000,1000
HMR_0305,-1000,1000
HMR_0309,-1000,1000
HMR_0313,-1000,1000
HMR_0319,-1000,1000
HMR_0323,-1000,1000
HMR_0327,-1000,1000
HMR_0331,-1000,1000
HMR_0337,-1000,1000
HMR_0341,-1000,1000
HMR_0345,-1000,1000
HMR_0349,-1000,1000
HMR_0353,-1000,1000
HMR_0357,-1000,1000
HMR_0361,-1000,1000
HMR_0365,-1000,1000
HMR_0369,-1000,1000
HMR_0373,-1000,1000
HMR_0377,-1000,1000
HMR_0381,-1000,1000
HMR_0385,-1000,1000
HMR_0389,-1000,1000
HMR_0393,-1000,1000
HMR_0397,-1000,1000
HMR_0401,-1000,1000
HMR_0405,-1000,1000
HMR_0409,-1000,1000
HMR_0413,-1000,1000
HMR_0417,-1000,1000
HMR_0421,-1000,1000
HMR_0425,-1000,1000
HMR_0429,-1000,1000
HMR_0433,-1000,1000
HMR_0437,-1000,1000
HMR_2952,-1000,1000
HMR_2959,0,1000
HMR_2982,-1000,1000
HMR_2984,-1000,1000
HMR_2991,-1000,1000
HMR_2992,-1000,1000
HMR_2994,-1000,1000
HMR_2152,0,1000
HMR_2153,0,1000
HMR_2154,0,1000
HMR_2155,0,1000
HMR_2156,0,1000
HMR_2157,0,1000
HMR_2158,0,1000
HMR_2159,0,1000
HMR_2160,0,1000
HMR_2161,0,1000
HMR_2162,0,1000
HMR_2163,0,1000
HMR_2164,0,1000
HMR_2165,0,1000
HMR_2166,0,1000
HMR_2167,0,1000
HMR_2168,0,1000
HMR_2169,0,1000
HMR_2170,0,1000
HMR_2171,0,1000
HMR_2173,0,1000
HMR_2174,0,1000
HMR_2175,0,1000
HMR_2176,0,1000
HMR_2178,0,1000
HMR_2179,0,1000
HMR_2180,0,1000
HMR_2181,0,1000
HMR_2227,0,1000
HMR_2228,0,1000
HMR_2229,0,1000
HMR_2230,0,1000
HMR_2231,0,1000
HMR_2232,0,1000
HMR_2233,0,1000
HMR_2234,0,1000
HMR_2235,0,1000
HMR_2236,0,1000
HMR_2237,0,1000
HMR_2238,0,1000
HMR_2239,0,1000
HMR_2240,0,1000
HMR_2241,0,1000
HMR_2242,0,1000
HMR_2243,0,1000
HMR_2244,0,1000
HMR_2245,0,1000
HMR_2246,0,1000
HMR_2247,0,1000
HMR_2249,0,1000
HMR_2250,0,1000
HMR_2251,0,1000
HMR_2252,0,1000
HMR_2254,0,1000
HMR_2255,0,1000
HMR_2256,0,1000
HMR_2257,0,1000
HMR_2305,0,1000
HMR_2307,0,1000
HMR_2309,0,1000
HMR_2311,0,1000
HMR_2315,0,1000
HMR_2317,0,1000
HMR_2319,0,1000
HMR_2321,0,1000
HMR_2324,0,1000
HMR_2326,0,1000
HMR_2328,0,1000
HMR_2330,0,1000
HMR_2332,0,1000
HMR_2334,0,1000
HMR_2336,0,1000
HMR_2338,0,1000
HMR_2342,0,1000
HMR_2343,0,1000
HMR_2344,0,1000
HMR_2345,0,1000
HMR_2347,0,1000
HMR_2348,0,1000
HMR_2349,0,1000
HMR_2350,0,1000
HMR_2353,0,1000
HMR_2354,0,1000
HMR_2355,0,1000
HMR_2356,0,1000
HMR_2361,0,1000
HMR_2362,0,1000
HMR_2363,0,1000
HMR_2364,0,1000
HMR_2190,0,1000
HMR_2191,0,1000
HMR_2193,0,1000
HMR_2194,0,1000
HMR_2201,0,1000
HMR_2202,0,1000
HMR_2203,0,1000
HMR_2204,0,1000
HMR_2205,0,1000
HMR_2208,0,1000
HMR_2209,0,1000
HMR_2210,0,1000
HMR_2211,0,1000
HMR_2212,0,1000
HMR_2213,0,1000
HMR_2214,0,1000
HMR_2215,0,1000
HMR_2217,0,1000
HMR_2218,0,1000
HMR_2219,0,1000
HMR_2259,0,1000
HMR_2260,0,1000
HMR_2261,0,1000
HMR_2262,0,1000
HMR_2263,0,1000
HMR_2264,0,1000
HMR_2265,0,1000
HMR_2266,0,1000
HMR_2267,0,1000
HMR_2268,0,1000
HMR_2269,0,1000
HMR_2270,0,1000
HMR_2281,0,1000
HMR_2282,0,1000
HMR_2284,0,1000
HMR_2286,0,1000
HMR_2287,0,1000
HMR_2292,0,1000
HMR_2293,0,1000
HMR_2294,0,1000
HMR_2295,0,1000
HMR_2296,0,1000
HMR_2359,0,1000
HMR_2365,0,1000
HMR_2288,0,1000
HMR_2289,0,1000
HMR_2150,0,1000
HMR_2151,0,1000
HMR_2172,0,1000
HMR_2177,0,1000
HMR_2182,0,1000
HMR_2248,0,1000
HMR_2253,0,1000
HMR_2258,0,1000
HMR_2442,-1000,1000
HMR_2451,-1000,1000
HMR_2452,-1000,1000
HMR_2453,-1000,1000
HMR_2454,-1000,1000
HMR_2459,-1000,1000
HMR_2465,-1000,1000
HMR_2472,0,1000
HMR_2475,0,1000
HMR_2478,0,1000
HMR_2480,0,1000
HMR_2482,0,1000
HMR_2484,0,1000
HMR_2486,0,1000
HMR_2489,0,1000
HMR_2491,0,1000
HMR_2493,0,1000
HMR_2497,0,1000
HMR_2499,0,1000
HMR_2501,0,1000
HMR_2503,0,1000
HMR_2505,0,1000
HMR_2514,-1000,1000
HMR_2515,0,1000
HMR_2516,0,1000
HMR_2518,0,1000
HMR_2520,0,1000
HMR_2522,0,1000
HMR_2524,0,1000
HMR_2526,0,1000
HMR_2528,0,1000
HMR_2530,0,1000
HMR_2533,0,1000
HMR_2535,0,1000
HMR_2537,0,1000
HMR_2540,0,1000
HMR_2541,0,1000
HMR_2542,0,1000
HMR_2543,0,1000
HMR_2581,0,1000
HMR_2582,0,1000
HMR_2583,-1000,1000
HMR_2584,-1000,1000
HMR_2368,0,1000
HMR_2371,0,1000
HMR_2374,0,1000
HMR_2376,0,1000
HMR_2378,0,1000
HMR_2380,0,1000
HMR_2383,0,1000
HMR_2387,0,1000
HMR_2389,0,1000
HMR_2391,0,1000
HMR_2399,0,1000
HMR_2401,0,1000
HMR_2403,0,1000
HMR_2412,-1000,1000
HMR_2415,0,1000
HMR_2417,0,1000
HMR_2419,0,1000
HMR_2421,0,1000
HMR_2423,0,1000
HMR_2426,0,1000
HMR_2428,0,1000
HMR_2430,0,1000
HMR_2433,0,1000
HMR_2434,0,1000
HMR_2435,0,1000
HMR_2436,0,1000
HMR_0960,0,1000
HMR_0963,0,1000
HMR_0964,0,1000
HMR_0979,-1000,1000
HMR_1020,-1000,1000
HMR_1025,-1000,1000
HMR_1045,-1000,1000
HMR_1080,0,1000
HMR_1084,0,1000
HMR_1100,0,1000
HMR_1101,0,1000
HMR_1102,0,1000
HMR_1105,0,1000
HMR_1106,0,1000
HMR_1129,-1000,1000
HMR_1131,-1000,1000
HMR_1132,-1000,1000
HMR_1134,-1000,1000
HMR_1146,-1000,1000
HMR_1150,-1000,1000
HMR_1151,-1000,1000
HMR_1158,-1000,1000
HMR_1159,-1000,1000
HMR_1186,-1000,1000
HMR_1194,-1000,1000
HMR_1195,-1000,1000
HMR_1228,0,1000
HMR_1229,0,1000
HMR_1230,0,1000
HMR_1231,0,1000
HMR_1232,0,1000
HMR_1233,0,1000
HMR_1235,0,1000
HMR_1237,0,1000
HMR_1239,0,1000
HMR_1241,-1000,1000
HMR_1244,0,1000
HMR_1246,0,1000
HMR_1248,-1000,1000
HMR_1250,-1000,1000
HMR_1263,-1000,1000
HMR_1264,-1000,1000
HMR_1265,-1000,1000
HMR_1266,-1000,1000
HMR_1280,-1000,1000
HMR_1281,-1000,1000
HMR_1282,-1000,1000
HMR_1285,-1000,1000
HMR_4796,0,1000
HMR_8547,-1000,1000
HMR_8549,-1000,1000
HMR_8552,-1000,1000
HMR_8560,-1000,1000
HMR_8561,0,1000
HMR_0214,0,1000
HMR_2599,-1000,1000
HMR_2666,-1000,1000
HMR_2774,-1000,1000
HMR_2877,-1000,1000
HMR_2634,-1000,1000
HMR_2673,-1000,1000
HMR_2674,-1000,1000
HMR_2727,-1000,1000
HMR_2729,-1000,1000
HMR_2769,-1000,1000
HMR_2770,-1000,1000
HMR_3520,-1000,1000
HMR_8418,-1000,1000
HMR_2783,-1000,1000
HMR_2785,-1000,1000
HMR_2867,-1000,1000
HMR_2868,-1000,1000
HMR_2878,-1000,1000
HMR_2879,-1000,1000
HMR_2900,-1000,1000
HMR_2901,-1000,1000
HMR_2904,-1000,1000
HMR_2905,-1000,1000
HMR_2912,-1000,1000
HMR_2913,-1000,1000
HMR_2914,-1000,1000
HMR_0005,0,1000
HMR_0668,0,1000
HMR_0669,0,1000
HMR_0670,0,1000
HMR_0671,0,1000
HMR_0680,0,1000
HMR_0681,0,1000
HMR_0682,0,1000
HMR_0683,0,1000
HMR_3106,-1000,1000
HMR_3488,0,1000
HMR_3489,-1000,1000
HMR_3121,0,1000
HMR_3135,0,1000
HMR_3136,0,1000
HMR_3409,0,1000
HMR_3423,0,1000
HMR_3429,0,1000
HMR_2002,-1000,1000
HMR_2003,-1000,1000
HMR_2004,-1000,1000
HMR_2005,0,1000
HMR_7945,0,1000
HMR_7970,0,1000
HMR_7972,0,1000
HMR_7976,0,1000
HMR_1973,0,1000
HMR_1974,0,1000
HMR_2014,-1000,1000
HMR_2015,-1000,1000
HMR_2016,0,1000
HMR_2017,0,1000
HMR_2018,0,1000
HMR_2019,0,1000
HMR_1565,0,1000
HMR_1437,0,1000
HMR_1531,0,1000
HMR_3105,-1000,1000
HMR_2042,0,1000
HMR_2043,0,1000
HMR_2044,-1000,1000
HMR_2045,-1000,1000
HMR_2048,-1000,1000
HMR_2049,0,1000
HMR_2051,0,1000
HMR_2052,-1000,1000
HMR_2054,0,1000
HMR_2055,0,1000
HMR_2057,0,1000
HMR_2058,-1000,1000
HMR_2059,-1000,1000
HMR_2060,-1000,1000
HMR_2061,-1000,1000
HMR_2063,-1000,1000
HMR_2064,0,1000
HMR_2068,-1000,1000
HMR_2069,-1000,1000
HMR_2070,-1000,1000
HMR_2071,-1000,1000
HMR_2072,-1000,1000
HMR_2073,-1000,1000
HMR_2074,-1000,1000
HMR_2075,-1000,1000
HMR_2076,-1000,1000
HMR_2078,-1000,1000
HMR_2079,0,1000
HMR_2083,-1000,1000
HMR_2084,-1000,1000
HMR_2085,-1000,1000
HMR_2086,-1000,1000
HMR_2088,-1000,1000
HMR_2089,-1000,1000
HMR_2091,0,1000
HMR_2095,-1000,1000
HMR_2096,-1000,1000
HMR_2097,-1000,1000
HMR_2098,-1000,1000
HMR_2099,-1000,1000
HMR_2100,-1000,1000
HMR_2102,0,1000
HMR_2106,-1000,1000
HMR_2107,-1000,1000
HMR_2108,-1000,1000
HMR_2109,-1000,1000
HMR_2110,-1000,1000
HMR_2111,-1000,1000
HMR_2112,-1000,1000
HMR_2113,-1000,1000
HMR_0750,0,1000
HMR_0753,-1000,1000
HMR_0758,0,1000
HMR_0763,-1000,1000
HMR_8211,0,1000
HMR_8217,0,1000
HMR_0453,-1000,1000
HMR_0456,0,1000
HMR_0458,0,1000
HMR_0459,0,1000
HMR_0486,0,1000
HMR_0487,0,1000
HMR_0488,0,1000
HMR_0489,0,1000
HMR_0490,0,1000
HMR_0491,0,1000
HMR_0492,0,1000
HMR_0493,0,1000
HMR_0494,0,1000
HMR_0495,0,1000
HMR_0496,0,1000
HMR_0497,0,1000
HMR_0498,0,1000
HMR_0499,0,1000
HMR_0500,0,1000
HMR_0501,0,1000
HMR_0502,0,1000
HMR_0503,0,1000
HMR_0504,0,1000
HMR_0505,0,1000
HMR_0506,0,1000
HMR_0507,0,1000
HMR_0508,0,1000
HMR_0509,0,1000
HMR_0510,0,1000
HMR_0511,0,1000
HMR_0512,0,1000
HMR_0513,0,1000
HMR_0514,0,1000
HMR_0515,0,1000
HMR_0516,0,1000
HMR_0517,0,1000
HMR_0518,0,1000
HMR_0519,0,1000
HMR_0520,0,1000
HMR_0521,0,1000
HMR_0522,0,1000
HMR_0523,0,1000
HMR_0524,0,1000
HMR_0525,0,1000
HMR_0526,0,1000
HMR_0527,0,1000
HMR_0528,0,1000
HMR_0529,0,1000
HMR_0530,0,1000
HMR_0531,0,1000
HMR_0532,0,1000
HMR_0533,0,1000
HMR_0534,0,1000
HMR_0535,0,1000
HMR_0536,0,1000
HMR_0537,0,1000
HMR_0538,0,1000
HMR_0539,0,1000
HMR_0540,0,1000
HMR_0541,0,1000
HMR_0542,0,1000
HMR_0543,0,1000
HMR_0544,0,1000
HMR_0588,0,1000
HMR_0468,0,1000
HMR_0579,0,1000
HMR_0580,0,1000
HMR_0581,0,1000
HMR_0584,0,1000
HMR_0589,0,1000
HMR_0590,0,1000
HMR_0591,0,1000
HMR_0594,0,1000
HMR_0597,0,1000
HMR_0598,0,1000
HMR_0599,0,1000
HMR_0602,0,1000
HMR_0623,0,1000
HMR_0629,0,1000
HMR_0632,0,1000
HMR_0642,0,1000
HMR_0660,0,1000
HMR_7611,0,1000
HMR_8518,0,1000
HMR_8523,0,1000
HMR_0803,0,1000
HMR_0807,0,1000
HMR_0793,0,1000
HMR_0804,0,1000
HMR_0808,0,1000
HMR_0826,0,1000
HMR_0835,0,1000
HMR_0836,0,1000
HMR_0924,0,1000
HMR_0925,0,1000
HMR_0926,0,1000
HMR_1310,-1000,1000
HMR_1312,0,1000
HMR_1315,-1000,1000
HMR_1318,-1000,1000
HMR_1322,-1000,1000
HMR_1323,-1000,1000
HMR_1324,-1000,1000
HMR_1325,0,1000
HMR_1326,0,1000
HMR_1327,0,1000
HMR_1329,-1000,1000
HMR_1332,-1000,1000
HMR_1333,-1000,1000
HMR_1334,-1000,1000
HMR_1335,-1000,1000
HMR_1373,-1000,1000
HMR_1375,-1000,1000
HMR_1376,-1000,1000
HMR_0025,0,1000
HMR_0030,0,1000
HMR_7525,0,1000
HMR_7527,0,1000
HMR_7529,0,1000
HMR_7531,0,1000
HMR_7533,0,1000
HMR_7541,0,1000
HMR_7543,0,1000
HMR_7545,0,1000
HMR_7546,0,1000
HMR_7548,0,1000
HMR_7550,0,1000
HMR_7557,0,1000
HMR_7559,0,1000
HMR_7562,0,1000
HMR_7563,0,1000
HMR_7567,0,1000
HMR_1590,0,1000
HMR_1593,-1000,1000
HMR_1595,0,1000
HMR_1599,0,1000
HMR_1656,-1000,1000
HMR_1659,0,1000
HMR_1673,0,1000
HMR_1676,0,1000
HMR_1679,-1000,1000
HMR_1684,-1000,1000
HMR_1692,-1000,1000
HMR_1786,0,1000
HMR_1787,0,1000
HMR_1810,0,1000
HMR_1811,0,1000
HMR_1813,-1000,1000
HMR_1834,-1000,1000
HMR_1841,-1000,1000
HMR_1868,0,1000
HMR_1870,0,1000
HMR_1872,0,1000
HMR_1874,0,1000
HMR_1895,0,1000
HMR_1896,0,1000
HMR_1897,0,1000
HMR_0712,0,1000
HMR_3992,-1000,1000
HMR_4252,0,1000
HMR_4262,-1000,1000
HMR_4264,0,1000
HMR_4662,0,1000
HMR_7676,0,1000
HMR_8791,-1000,1000
HMR_0663,0,1000
HMR_6547,0,1000
HMR_8806,0,1000
HMR_8822,0,1000
HMR_8830,0,1000
HMR_4338,0,1000
HMR_4440,-1000,1000
HMR_4442,-1000,1000
HMR_4444,-1000,1000
HMR_4503,-1000,1000
HMR_4505,-1000,1000
HMR_4655,-1000,1000
HMR_8144,-1000,1000
HMR_4165,-1000,1000
HMR_4166,0,1000
HMR_4167,0,1000
HMR_4539,-1000,1000
HMR_4540,-1000,1000
HMR_4541,-1000,1000
HMR_4542,-1000,1000
HMR_4543,-1000,1000
HMR_4544,-1000,1000
HMR_8538,0,1000
HMR_6396,0,1000
HMR_3991,0,1000
HMR_4657,0,1000
HMR_4764,0,1000
HMR_8634,0,1000
HMR_6630,0,1000
HMR_6631,0,1000
HMR_6632,0,1000
HMR_6633,0,1000
HMR_6644,-1000,1000
HMR_6646,0,1000
HMR_6647,0,1000
HMR_6659,-1000,1000
HMR_6662,-1000,1000
HMR_6672,-1000,1000
HMR_6673,-1000,1000
HMR_6674,-1000,1000
HMR_6675,-1000,1000
HMR_6676,-1000,1000
HMR_8698,-1000,1000
HMR_8699,-1000,1000
HMR_8717,0,1000
HMR_6507,0,1000
HMR_6509,0,1000
HMR_6511,0,1000
HMR_4537,0,1000
HMR_4552,-1000,1000
HMR_4559,0,1000
HMR_4561,-1000,1000
HMR_4563,0,1000
HMR_4065,0,1000
HMR_4066,0,1000
HMR_4067,0,1000
HMR_2114,0,1000
HMR_2137,0,1000
HMR_2138,0,1000
HMR_7999,0,1000
HMR_8011,-1000,1000
HMR_8014,-1000,1000
HMR_6456,-1000,1000
HMR_6457,-1000,1000
HMR_6459,-1000,1000
HMR_6460,-1000,1000
HMR_6500,-1000,1000
HMR_7062,0,1000
HMR_9569,0,1000
HMR_3955,0,1000
HMR_4201,0,1000
HMR_4202,0,1000
HMR_5128,-1000,1000
HMR_5406,-1000,1000
HMR_7794,0,1000
HMR_8749,-1000,1000
HMR_8752,0,1000
HMR_9474,0,1000
HMR_9488,0,1000
HMR_9489,0,1000
HMR_9571,0,1000
HMR_9572,0,1000
HMR_9577,0,1000
HMR_9578,0,1000
HMR_0010,0,1000
HMR_0011,0,1000
HMR_0553,0,1000
HMR_0561,0,1000
HMR_0004,0,1000
HMR_0006,0,1000
HMR_0009,0,1000
HMR_0019,0,1000
HMR_0155,-1000,1000
HMR_0167,-1000,1000
HMR_0173,-1000,1000
HMR_0176,-1000,1000
HMR_0179,-1000,1000
HMR_0187,0,1000
HMR_0190,0,1000
HMR_0191,0,1000
HMR_0194,0,1000
HMR_0195,0,1000
HMR_0199,0,1000
HMR_0202,0,1000
HMR_0203,0,1000
HMR_0207,0,1000
HMR_0208,0,1000
HMR_0211,0,1000
HMR_0212,0,1000
HMR_0215,0,1000
HMR_0216,0,1000
HMR_0225,0,1000
HMR_0232,0,1000
HMR_0236,0,1000
HMR_0240,0,1000
HMR_0243,0,1000
HMR_0244,0,1000
HMR_0247,0,1000
HMR_0248,0,1000
HMR_0254,0,1000
HMR_0257,0,1000
HMR_0258,0,1000
HMR_0262,0,1000
HMR_0266,0,1000
HMR_0270,0,1000
HMR_0274,0,1000
HMR_0278,0,1000
HMR_0282,0,1000
HMR_0288,0,1000
HMR_0291,0,1000
HMR_0292,0,1000
HMR_0296,0,1000
HMR_0300,0,1000
HMR_0304,0,1000
