reaction,FC,p,q,enrichment
HMR_6293,-2.665641903433696,0.0,0.0,-1
HMR_6294,0.8056101011286515,1.3253186706370208e-201,7.376814525633792e-201,0
HMR_6295,0.31958425328891743,3.202737354157636e-21,1.048727433050466e-20,0
HMR_6296,-0.3010411633821378,2.104700973377179e-27,7.06119933251026e-27,0
HMR_6297,0.17914037994261933,4.265582629717994e-14,1.3401627930568871e-13,0
HMR_6298,0.11697913676995712,2.478045227082155e-09,7.54918778107528e-09,0
HMR_6328,4.689212896341821,0.0,0.0,1
HMR_6370,-0.7632216862076555,1.522399152854421e-166,7.752874491849679e-166,0
HMR_6375,-0.7821320235623715,1.3332739479484995e-262,8.377772947330166e-262,0
HMR_6377,1.0388904425643397,0.0,0.0,1
HMR_6380,1.0349243245311321,0.0,0.0,1
HMR_6381,-0.9225478174063871,0.0,0.0,-1
HMR_6382,1.218675722029667,1.3657773437310343e-298,9.083883619513234e-298,1
HMR_6384,-0.5694715292319956,9.859237018905467e-150,4.8263582078200075e-149,0
HMR_6385,0.0,1.0,1.0,0
HMR_6396,0.0,1.0,1.0,0
HMR_6397,0.0,1.0,1.0,0
HMR_6409,0.0,1.0,1.0,0
HMR_6410,0.0,1.0,1.0,0
HMR_6411,0.0,1.0,1.0,0
HMR_6412,0.0,1.0,1.0,0
HMR_6413,0.0,1.0,1.0,0
HMR_6414,0.0,1.0,1.0,0
HMR_6415,0.0,1.0,1.0,0
HMR_6424,0.0,1.0,1.0,0
HMR_6426,0.0,1.0,1.0,0
HMR_6428,0.0,1.0,1.0,0
HMR_6431,0.0,1.0,1.0,0
HMR_6432,0.0,1.0,1.0,0
HMR_6433,0.0,1.0,1.0,0
HMR_6434,0.0,1.0,1.0,0
HMR_6435,0.0,1.0,1.0,0
HMR_6436,0.0,1.0,1.0,0
HMR_6439,0.0,1.0,1.0,0
HMR_6441,0.0,1.0,1.0,0
HMR_6443,0.0,1.0,1.0,0
HMR_6446,0.0,1.0,1.0,0
HMR_6447,0.0,1.0,1.0,0
HMR_6448,0.0,1.0,1.0,0
HMR_6450,0.0,1.0,1.0,0
HMR_6451,0.0,1.0,1.0,0
HMR_6453,0.0,1.0,1.0,0
HMR_6462,0.0,1.0,1.0,0
HMR_6464,0.0,1.0,1.0,0
HMR_6466,0.0,1.0,1.0,0
HMR_6469,0.0,1.0,1.0,0
HMR_6470,0.0,1.0,1.0,0
HMR_6471,0.0,1.0,1.0,0
HMR_6472,0.0,1.0,1.0,0
HMR_6473,0.0,1.0,1.0,0
HMR_6507,0.0,1.0,1.0,0
HMR_6508,-1.0,0.0,0.0,-1
HMR_6509,1.0,0.0,0.0,1
HMR_6511,0.0,1.0,1.0,0
HMR_6512,0.0,1.0,1.0,0
HMR_6513,0.0,1.0,1.0,0
HMR_6519,0.0,1.0,1.0,0
HMR_6525,-1.0,1.2648578104450944e-222,7.364666978222973e-222,-1
HMR_6537,0.0,1.0,1.0,0
HMR_6545,0.37007533451705704,3.594137052202643e-34,1.2747604596793574e-33,0
HMR_6546,0.43776826496726917,7.39394789512448e-72,3.0249580597319816e-71,0
HMR_6547,-0.17683848247538447,9.008004960845764e-82,3.7482088934641154e-81,0
HMR_6549,0.08354333329799363,1.583096794215111e-16,5.052877700525686e-16,0
HMR_6550,0.19215190138945035,7.224279835989447e-12,2.2347454941428824e-11,0
HMR_6551,-1.0,0.0,0.0,-1
HMR_6554,-1.0,0.0,0.0,-1
HMR_6555,-1.0,0.0,0.0,-1
HMR_6556,-1.0,0.0,0.0,-1
HMR_6557,-0.24254236606849874,3.423674733977015e-29,1.1883599381820523e-28,0
HMR_6558,-0.041156088894157956,0.00034775170271509687,0.0010106718992026495,0
HMR_6559,0.0,1.0,1.0,0
HMR_6561,0.0,1.0,1.0,0
HMR_6563,0.0,1.0,1.0,0
HMR_6565,0.0,1.0,1.0,0
HMR_6569,0.0,1.0,1.0,0
HMR_6570,0.0,1.0,1.0,0
HMR_6576,0.605332205699628,1.4009782290842566e-250,8.628407432555023e-250,0
HMR_6579,0.41582831536903875,2.75500835346449e-127,1.2720011504764329e-126,0
HMR_6580,0.0,1.0,1.0,0
HMR_6581,0.0,1.0,1.0,0
HMR_6583,7.7197909843881245,9.299209351971202e-125,4.247510349253781e-124,1
HMR_6584,0.0,1.0,1.0,0
HMR_6585,0.0,1.0,1.0,0
HMR_6587,-0.6348301046150548,6.1174531068406495e-257,3.7950454546436903e-256,0
HMR_6591,-0.8271384537912019,0.0,0.0,-1
HMR_6592,0.9011963197553307,0.0,0.0,1
HMR_6595,0.9595705622156491,0.0,0.0,1
HMR_6602,0.0,1.0,1.0,0
HMR_6603,-2.125400496929486,5.515494869858024e-114,2.4503735020775488e-113,-1
HMR_6614,-0.13861738853310046,3.4361829016674145e-49,1.3012492852929212e-48,0
HMR_6615,0.5402151904964766,1.083476044558057e-297,7.192257323019632e-297,0
HMR_6616,-0.8913773103087095,0.0,0.0,-1
HMR_6624,0.0,1.0,1.0,0
HMR_6625,0.0,1.0,1.0,0
HMR_6626,0.0,1.0,1.0,0
HMR_6627,-0.9930726990903953,0.0,0.0,-1
HMR_6629,0.0,1.0,1.0,0
HMR_6630,0.0,1.0,1.0,0
HMR_6631,0.0,1.0,1.0,0
HMR_6632,0.0,1.0,1.0,0
HMR_6633,0.0,1.0,1.0,0
HMR_6636,0.0,1.0,1.0,0
HMR_6643,0.0,1.0,1.0,0
HMR_6645,0.0,1.0,1.0,0
HMR_6650,0.0,1.0,1.0,0
HMR_6651,0.0,1.0,1.0,0
HMR_6657,0.0,1.0,1.0,0
HMR_6658,0.0,1.0,1.0,0
HMR_6668,0.0,1.0,1.0,0
HMR_6707,0.0,1.0,1.0,0
HMR_6713,0.0,1.0,1.0,0
HMR_6714,0.0,1.0,1.0,0
HMR_6725,-0.9610136623786862,0.0,0.0,-1
HMR_6730,0.0,1.0,1.0,0
HMR_6734,0.0,1.0,1.0,0
