reaction,FC,p,q,enrichment
DCSPTN1CRNt,-798.3392460514501,0.0,0.0,-1
DEOXFVShc,0.0,1.0,1.0,0
DESAT14_9,0.0,1.0,1.0,0
DESAT16_2,314.68167258604376,0.0,0.0,1
DESAT18_10,473.21584575436526,0.0,0.0,1
DESAT18_3,158.20080149223807,0.0,0.0,1
DESAT18_4,407.4082043831814,0.0,0.0,1
DESAT18_5,11.865779345181494,0.0,0.0,1
DESAT18_6,9.874068116320224,0.0,0.0,1
DESAT18_7,-645.529216033532,0.0,0.0,-1
DESAT18_8,644.8856783494489,0.0,0.0,1
DESAT18_9,-0.9393769305648983,0.0,0.0,-1
DESAT20_1,733.715382991856,0.0,0.0,1
DESAT20_2,-613.4999135977109,0.0,0.0,-1
DGTPtm,0.0,1.0,1.0,0
DHCR243r,0.0,1.0,1.0,0
DHCR71r,0.0,1.0,1.0,0
DHCR72r,0.0,1.0,1.0,0
DLNLCGCRNt,-1.0,0.0,0.0,-1
DMATTx,0.0,1.0,1.0,0
DMHPTCRNt,0.0,1.0,1.0,0
DOPASULT4,0.0,1.0,1.0,0
DSREDUCr,0.0,1.0,1.0,0
DTMPKm,-615.4997607477517,0.0,0.0,-1
DXTRNt,445.85293196045745,0.0,0.0,1
EBP1r,247.47980259405682,0.0,0.0,1
EBP2r,247.47980259405676,0.0,0.0,1
EIC21114TRc,0.0,1.0,1.0,0
EICOSTETCRNt,19.476685685606263,0.0,0.0,1
ELAIDCPT1,19.528469118696272,0.0,0.0,1
ELAIDCPT2,-1.0,0.0,0.0,-1
ETF,-1.0,0.0,0.0,-1
ETFQO,-1.0,0.0,0.0,-1
EX_12HPET[e],59.64828594054509,8.591194846746758e-20,1.328300719227604e-19,1
EX_2hyoxplac[e],0.0,1.0,1.0,0
EX_3hpvs[e],0.0,1.0,1.0,0
EX_5HPET[e],0.0,1.0,1.0,0
EX_C04717[e],0.0,1.0,1.0,0
EX_C04849[e],36.91995590727741,9.493324562588615e-72,1.6226348798043943e-71,1
EX_C14770[e],0.0,1.0,1.0,0
EX_C14771[e],0.0,1.0,1.0,0
EX_CE0074[e],27.84617947162089,5.698155500076412e-186,1.1269833249567657e-185,1
EX_CE2510[e],239.53124587793792,0.0,0.0,1
EX_CE2705[e],0.0,1.0,1.0,0
EX_CE2915[e],8.15136886016771,0.0,0.0,1
EX_CE2916[e],12.83952387706698,0.0,0.0,1
EX_CE2917[e],7.396433181249725,1.69567220820453e-80,2.9248833912279872e-80,1
EX_CE4722[e],19.368242057179486,4.2783873670301815e-250,9.076829338824683e-250,1
EX_CE4723[e],58.17796576861633,0.0,0.0,1
EX_CE4724[e],16.920742608466337,1.463444082804217e-182,2.8893420783528154e-182,1
EX_CE5867[e],379.01651228913266,0.0,0.0,1
EX_CE5868[e],113.45646536094756,1.9565713340354295e-129,3.6261360356015135e-129,1
EX_CE5869[e],426.4745031931763,0.0,0.0,1
EX_HC01609[e],72.50281040268709,0.0,0.0,1
EX_HC01610[e],773.8344283355702,0.0,0.0,1
EX_HC01944[e],-1.0,8.139997120669827e-154,1.5475592504541288e-153,-1
EX_M00003[e],5.21841807177763,4.595992127220267e-178,9.011018727717328e-178,1
EX_M00008[e],71.01769795966594,7.142655535589721e-81,1.233300950714268e-80,1
EX_M00010[e],144.60820515102887,0.0,0.0,1
EX_M00017[e],135.0980458821929,2.6733739150999497e-208,5.420385674567921e-208,1
EX_M00019[e],71.19636374167904,1.5704415238299118e-54,2.62334237774449e-54,1
EX_M00021[e],396.465985708202,0.0,0.0,1
EX_M00115[e],-212.33958698566929,3.736072982357261e-305,8.339052813620096e-305,-1
EX_M00117[e],537.1630302926196,0.0,0.0,1
EX_M00260[e],20.892226211112163,0.0,0.0,1
EX_M00265[e],-304.26884596867285,0.0,0.0,-1
EX_M00315[e],-24.741967504788384,0.0,0.0,-1
EX_M00341[e],49.63769688870019,1.6422924177983374e-99,2.903813120973979e-99,1
EX_M01197[e],31.164891719282778,1.4693413912690717e-265,3.15284534273579e-265,1
EX_M01207[e],13.064461726832661,0.0,0.0,1
EX_M01235[e],21.244418506037405,0.0,0.0,1
EX_M01238[e],-21.696097412094357,0.0,0.0,-1
EX_M01582[e],10.82285825028359,2.1966264015620898e-38,3.545174926448635e-38,1
EX_M02053[e],1.545803309044751,0.0,0.0,1
EX_M02457[e],16.96063269049216,1.0221968655767642e-295,2.2621951547992963e-295,1
EX_M02613[e],55.60207730837528,0.0,0.0,1
EX_M02745[e],4.34092898248348,0.0,0.0,1
EX_M02956[e],-1.0,3.2267965488408708e-195,6.461225969470838e-195,-1
EX_M03045[e],10.319786148258386,0.0,0.0,1
EX_M03051[e],329.8421734219279,0.0,0.0,1
EX_M03153[e],-445.63707579056813,0.0,0.0,-1
EX_N1aspmd[e],0.0,1.0,1.0,0
EX_acnam[e],0.0,1.0,1.0,0
EX_adrn[e],24.589532775510108,3.819309735533345e-191,7.611643769579697e-191,1
EX_arach[e],9.843725128583337,0.0,0.0,1
