pair,MEM1,MEM2,infection1,infection2,dataset1,dataset2,Jaccard
"('Gimme_model_H_A549_alt', 'Gimme_model_H_CALU_alt')",GIMME,GIMME,healthy,healthy,A549,Calu-3,0.9037778070290904
"('Gimme_model_H_A549_alt', 'Gimme_model_H_Lung_alt')",GIMME,GIMME,healthy,healthy,A549,Lung,0.8307965499746321
"('Gimme_model_H_A549_alt', 'Gimme_model_H_NHBE_alt')",GIMME,GIMME,healthy,healthy,A549,HBE,0.8575839444230027
"('Gimme_model_H_A549_alt', 'Gimme_model_I_293T_alt')",GIMME,GIMME,healthy,infected,A549,293T,0.8144224633056797
"('Gimme_model_H_A549_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,healthy,infected,A549,A549,0.965389369592089
"('Gimme_model_H_A549_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,healthy,infected,A549,Calu-3,0.8472329472329473
"('Gimme_model_H_A549_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,healthy,infected,A549,Lung,0.7934019066733567
"('Gimme_model_H_A549_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,healthy,infected,A549,HBE,0.8437741686001546
"('Gimme_model_H_A549_alt', 'IMAT_model_H_293T_alt')",GIMME,iMAT,healthy,healthy,A549,293T,0.28130424001983634
"('Gimme_model_H_A549_alt', 'IMAT_model_H_A549_alt')",GIMME,iMAT,healthy,healthy,A549,A549,0.37072649572649574
"('Gimme_model_H_A549_alt', 'IMAT_model_H_CALU_alt')",GIMME,iMAT,healthy,healthy,A549,Calu-3,0.32675947409126066
"('Gimme_model_H_A549_alt', 'IMAT_model_H_Lung_alt')",GIMME,iMAT,healthy,healthy,A549,Lung,0.3038941206413846
"('Gimme_model_H_A549_alt', 'IMAT_model_H_NHBE_alt')",GIMME,iMAT,healthy,healthy,A549,HBE,0.31390134529147984
"('Gimme_model_H_A549_alt', 'iMAT_model_I_293T_alt')",GIMME,iMAT,healthy,infected,A549,293T,0.27263644311227675
"('Gimme_model_H_A549_alt', 'iMAT_model_I_A549_alt')",GIMME,iMAT,healthy,infected,A549,A549,0.3669602348545503
"('Gimme_model_H_A549_alt', 'iMAT_model_I_CALU_alt')",GIMME,iMAT,healthy,infected,A549,Calu-3,0.31252423419930203
"('Gimme_model_H_A549_alt', 'iMAT_model_I_Lung_alt')",GIMME,iMAT,healthy,infected,A549,Lung,0.29313749691434215
