pair,MEM1,MEM2,infection1,infection2,dataset1,dataset2,Jaccard
"('Gimme_model_H_CALU_alt', 'Gimme_model_I_293T_alt')",GIMME,GIMME,infected,healthy,293T,Calu-3,0.8208477397874248
"('Gimme_model_H_Lung_alt', 'Gimme_model_I_293T_alt')",GIMME,GIMME,infected,healthy,293T,Lung,0.8283726323927328
"('Gimme_model_H_NHBE_alt', 'Gimme_model_I_293T_alt')",GIMME,GIMME,infected,healthy,293T,HBE,0.8596881959910914
"('Gimme_model_I_293T_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,infected,infected,293T,A549,0.8248572911261027
"('Gimme_model_I_293T_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,infected,infected,293T,Calu-3,0.7870804306523116
"('Gimme_model_I_293T_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,infected,293T,Lung,0.7963696791512208
"('Gimme_model_I_293T_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,infected,293T,HBE,0.8637327677624602
"('Gimme_model_I_293T_alt', 'IMAT_model_H_293T_alt')",GIMME,iMAT,infected,healthy,293T,293T,0.3392169873921699
"('Gimme_model_I_293T_alt', 'IMAT_model_H_A549_alt')",GIMME,iMAT,infected,healthy,293T,A549,0.29373789541639767
"('Gimme_model_I_293T_alt', 'IMAT_model_H_CALU_alt')",GIMME,iMAT,infected,healthy,293T,Calu-3,0.28949056845887333
"('Gimme_model_I_293T_alt', 'IMAT_model_H_Lung_alt')",GIMME,iMAT,infected,healthy,293T,Lung,0.30813497253465866
"('Gimme_model_I_293T_alt', 'IMAT_model_H_NHBE_alt')",GIMME,iMAT,infected,healthy,293T,HBE,0.3193199789140749
"('Gimme_model_I_293T_alt', 'iMAT_model_I_293T_alt')",GIMME,iMAT,infected,infected,293T,293T,0.3180492976411344
"('Gimme_model_I_293T_alt', 'iMAT_model_I_A549_alt')",GIMME,iMAT,infected,infected,293T,A549,0.2916559028674761
"('Gimme_model_I_293T_alt', 'iMAT_model_I_CALU_alt')",GIMME,iMAT,infected,infected,293T,Calu-3,0.27145606157793456
"('Gimme_model_I_293T_alt', 'iMAT_model_I_Lung_alt')",GIMME,iMAT,infected,infected,293T,Lung,0.29482475009490067
"('Gimme_model_I_293T_alt', 'IMAT_model_I_NHBE_alt')",GIMME,iMAT,infected,infected,293T,HBE,0.30985915492957744
"('Gimme_model_I_293T_alt', 'INIT_model_H_293T_alt')",GIMME,INIT,infected,healthy,293T,293T,0.2464762379942622
"('Gimme_model_I_293T_alt', 'INIT_model_H_A549_alt')",GIMME,INIT,infected,healthy,293T,A549,0.25688073394495414
"('Gimme_model_I_293T_alt', 'INIT_model_H_CALU_alt')",GIMME,INIT,infected,healthy,293T,Calu-3,0.2441805784152363
"('Gimme_model_I_293T_alt', 'INIT_model_H_Lung_alt')",GIMME,INIT,infected,healthy,293T,Lung,0.22762793042601462
"('Gimme_model_I_293T_alt', 'INIT_model_H_NHBE')",GIMME,INIT,infected,healthy,293T,HBE,0.2429179331306991
"('Gimme_model_I_293T_alt', 'INIT_model_I_293T_alt')",GIMME,INIT,infected,infected,293T,293T,0.2498044328552803
"('Gimme_model_I_293T_alt', 'INIT_model_I_A549_alt')",GIMME,INIT,infected,infected,293T,A549,0.2576057815596223
"('Gimme_model_I_293T_alt', 'INIT_model_I_CALU_alt')",GIMME,INIT,infected,infected,293T,Calu-3,0.23236465901101477
"('Gimme_model_I_293T_alt', 'INIT_model_I_Lung_alt')",GIMME,INIT,infected,infected,293T,Lung,0.22405978194291315
"('Gimme_model_I_293T_alt', 'INIT_model_I_NHBE')",GIMME,INIT,infected,infected,293T,HBE,0.24063068526379625
"('Gimme_model_I_293T_alt', 'tINIT_model_H_293T_alt')",GIMME,tINIT,infected,healthy,293T,293T,0.25598436736687835
"('Gimme_model_I_293T_alt', 'tINIT_model_H_A549_alt')",GIMME,tINIT,infected,healthy,293T,A549,0.26645411068093827
"('Gimme_model_I_293T_alt', 'tINIT_model_H_CALU_alt')",GIMME,tINIT,infected,healthy,293T,Calu-3,0.2552994324105178
"('Gimme_model_I_293T_alt', 'tINIT_model_H_Lung_alt')",GIMME,tINIT,infected,healthy,293T,Lung,0.2482767109798129
"('Gimme_model_I_293T_alt', 'tINIT_model_H_NHBE')",GIMME,tINIT,infected,healthy,293T,HBE,0.25806834361651637
"('Gimme_model_I_293T_alt', 'tINIT_model_I_293T_alt')",GIMME,tINIT,infected,infected,293T,293T,0.25408675505213024
"('Gimme_model_I_293T_alt', 'tINIT_model_I_A549_alt')",GIMME,tINIT,infected,infected,293T,A549,0.2635470826112074
"('Gimme_model_I_293T_alt', 'tINIT_model_I_CALU_alt')",GIMME,tINIT,infected,infected,293T,Calu-3,0.24291027429102743
"('Gimme_model_I_293T_alt', 'tINIT_model_I_Lung_alt')",GIMME,tINIT,infected,infected,293T,Lung,0.235607160135462
"('Gimme_model_I_293T_alt', 'tINIT_model_I_NHBE')",GIMME,tINIT,infected,infected,293T,HBE,0.24733883506757565
"('Gimme_model_H_293T_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,infected,healthy,A549,293T,0.8116957574213276
"('Gimme_model_H_A549_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,infected,healthy,A549,A549,0.965389369592089
"('Gimme_model_H_CALU_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,infected,healthy,A549,Calu-3,0.8840331709885481
"('Gimme_model_H_Lung_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,infected,healthy,A549,Lung,0.8124603476716152
"('Gimme_model_H_NHBE_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,infected,healthy,A549,HBE,0.846839860411012
"('Gimme_model_I_293T_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,infected,infected,A549,293T,0.8248572911261027
"('Gimme_model_I_A549_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,infected,infected,A549,Calu-3,0.854177545691906
"('Gimme_model_I_A549_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,infected,A549,Lung,0.8095420823740087
"('Gimme_model_I_A549_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,infected,A549,HBE,0.8562622950819672
"('Gimme_model_I_A549_alt', 'IMAT_model_H_293T_alt')",GIMME,iMAT,infected,healthy,A549,293T,0.27471839799749687
"('Gimme_model_I_A549_alt', 'IMAT_model_H_A549_alt')",GIMME,iMAT,infected,healthy,A549,A549,0.36435990826925674
"('Gimme_model_I_A549_alt', 'IMAT_model_H_CALU_alt')",GIMME,iMAT,infected,healthy,A549,Calu-3,0.3213913496612819
"('Gimme_model_I_A549_alt', 'IMAT_model_H_Lung_alt')",GIMME,iMAT,infected,healthy,A549,Lung,0.29835390946502055
"('Gimme_model_I_A549_alt', 'IMAT_model_H_NHBE_alt')",GIMME,iMAT,infected,healthy,A549,HBE,0.309277014770666
"('Gimme_model_I_A549_alt', 'iMAT_model_I_293T_alt')",GIMME,iMAT,infected,infected,A549,293T,0.266078184110971
"('Gimme_model_I_A549_alt', 'iMAT_model_I_A549_alt')",GIMME,iMAT,infected,infected,A549,A549,0.36553030303030304
"('Gimme_model_I_A549_alt', 'iMAT_model_I_CALU_alt')",GIMME,iMAT,infected,infected,A549,Calu-3,0.3069888961463096
"('Gimme_model_I_A549_alt', 'iMAT_model_I_Lung_alt')",GIMME,iMAT,infected,infected,A549,Lung,0.2879770516338239
"('Gimme_model_I_A549_alt', 'IMAT_model_I_NHBE_alt')",GIMME,iMAT,infected,infected,A549,HBE,0.3067516586444647
"('Gimme_model_I_A549_alt', 'INIT_model_H_293T_alt')",GIMME,INIT,infected,healthy,A549,293T,0.22281488665292762
"('Gimme_model_I_A549_alt', 'INIT_model_H_A549_alt')",GIMME,INIT,infected,healthy,A549,A549,0.29517143196108675
"('Gimme_model_I_A549_alt', 'INIT_model_H_CALU_alt')",GIMME,INIT,infected,healthy,A549,Calu-3,0.2584865629420085
"('Gimme_model_I_A549_alt', 'INIT_model_H_Lung_alt')",GIMME,INIT,infected,healthy,A549,Lung,0.21994789728321548
"('Gimme_model_I_A549_alt', 'INIT_model_H_NHBE')",GIMME,INIT,infected,healthy,A549,HBE,0.2592456975466862
"('Gimme_model_I_A549_alt', 'INIT_model_I_293T_alt')",GIMME,INIT,infected,infected,A549,293T,0.20457939273270284
"('Gimme_model_I_A549_alt', 'INIT_model_I_A549_alt')",GIMME,INIT,infected,infected,A549,A549,0.29297849590115244
"('Gimme_model_I_A549_alt', 'INIT_model_I_CALU_alt')",GIMME,INIT,infected,infected,A549,Calu-3,0.24952896844088554
"('Gimme_model_I_A549_alt', 'INIT_model_I_Lung_alt')",GIMME,INIT,infected,infected,A549,Lung,0.22343522561863174
"('Gimme_model_I_A549_alt', 'INIT_model_I_NHBE')",GIMME,INIT,infected,infected,A549,HBE,0.2541610982869639
"('Gimme_model_I_A549_alt', 'tINIT_model_H_293T_alt')",GIMME,tINIT,infected,healthy,A549,293T,0.2329808720446715
"('Gimme_model_I_A549_alt', 'tINIT_model_H_A549_alt')",GIMME,tINIT,infected,healthy,A549,A549,0.2995017958521608
"('Gimme_model_I_A549_alt', 'tINIT_model_H_CALU_alt')",GIMME,tINIT,infected,healthy,A549,Calu-3,0.26692165044042654
"('Gimme_model_I_A549_alt', 'tINIT_model_H_Lung_alt')",GIMME,tINIT,infected,healthy,A549,Lung,0.23476897092532273
"('Gimme_model_I_A549_alt', 'tINIT_model_H_NHBE')",GIMME,tINIT,infected,healthy,A549,HBE,0.26982431149097813
"('Gimme_model_I_A549_alt', 'tINIT_model_I_293T_alt')",GIMME,tINIT,infected,infected,A549,293T,0.20877365446055543
"('Gimme_model_I_A549_alt', 'tINIT_model_I_A549_alt')",GIMME,tINIT,infected,infected,A549,A549,0.29612220916568743
"('Gimme_model_I_A549_alt', 'tINIT_model_I_CALU_alt')",GIMME,tINIT,infected,infected,A549,Calu-3,0.2570496387788394
"('Gimme_model_I_A549_alt', 'tINIT_model_I_Lung_alt')",GIMME,tINIT,infected,infected,A549,Lung,0.22796569795140542
"('Gimme_model_I_A549_alt', 'tINIT_model_I_NHBE')",GIMME,tINIT,infected,infected,A549,HBE,0.2569278547539417
"('Gimme_model_H_293T_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,infected,healthy,Calu-3,293T,0.7922844935913547
"('Gimme_model_H_A549_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,infected,healthy,Calu-3,A549,0.8472329472329473
"('Gimme_model_H_CALU_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,infected,healthy,Calu-3,Calu-3,0.9014569536423841
"('Gimme_model_H_Lung_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,infected,healthy,Calu-3,Lung,0.8232374650038178
"('Gimme_model_H_NHBE_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,infected,healthy,Calu-3,HBE,0.8285276856340903
"('Gimme_model_I_293T_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,infected,infected,Calu-3,293T,0.7870804306523116
"('Gimme_model_I_A549_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,infected,infected,Calu-3,A549,0.854177545691906
"('Gimme_model_I_CALU_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,infected,Calu-3,Lung,0.800761421319797
"('Gimme_model_I_CALU_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,infected,Calu-3,HBE,0.8428089304257529
"('Gimme_model_I_CALU_alt', 'IMAT_model_H_293T_alt')",GIMME,iMAT,infected,healthy,Calu-3,293T,0.28427925665494724
"('Gimme_model_I_CALU_alt', 'IMAT_model_H_A549_alt')",GIMME,iMAT,infected,healthy,Calu-3,A549,0.30636655948553054
"('Gimme_model_I_CALU_alt', 'IMAT_model_H_CALU_alt')",GIMME,iMAT,infected,healthy,Calu-3,Calu-3,0.313305827746261
"('Gimme_model_I_CALU_alt', 'IMAT_model_H_Lung_alt')",GIMME,iMAT,infected,healthy,Calu-3,Lung,0.29522227899846704
"('Gimme_model_I_CALU_alt', 'IMAT_model_H_NHBE_alt')",GIMME,iMAT,infected,healthy,Calu-3,HBE,0.2904374364191251
"('Gimme_model_I_CALU_alt', 'iMAT_model_I_293T_alt')",GIMME,iMAT,infected,infected,Calu-3,293T,0.24835953943295777
"('Gimme_model_I_CALU_alt', 'iMAT_model_I_A549_alt')",GIMME,iMAT,infected,infected,Calu-3,A549,0.30513711857860176
"('Gimme_model_I_CALU_alt', 'iMAT_model_I_CALU_alt')",GIMME,iMAT,infected,infected,Calu-3,Calu-3,0.35053763440860214
"('Gimme_model_I_CALU_alt', 'iMAT_model_I_Lung_alt')",GIMME,iMAT,infected,infected,Calu-3,Lung,0.28996143798979973
"('Gimme_model_I_CALU_alt', 'IMAT_model_I_NHBE_alt')",GIMME,iMAT,infected,infected,Calu-3,HBE,0.2885425980329544
"('Gimme_model_I_CALU_alt', 'INIT_model_H_293T_alt')",GIMME,INIT,infected,healthy,Calu-3,293T,0.21273793846522207
"('Gimme_model_I_CALU_alt', 'INIT_model_H_A549_alt')",GIMME,INIT,infected,healthy,Calu-3,A549,0.27043004520690855
"('Gimme_model_I_CALU_alt', 'INIT_model_H_CALU_alt')",GIMME,INIT,infected,healthy,Calu-3,Calu-3,0.25733051841426224
"('Gimme_model_I_CALU_alt', 'INIT_model_H_Lung_alt')",GIMME,INIT,infected,healthy,Calu-3,Lung,0.21893126002715044
"('Gimme_model_I_CALU_alt', 'INIT_model_H_NHBE')",GIMME,INIT,infected,healthy,Calu-3,HBE,0.2492463523453515
"('Gimme_model_I_CALU_alt', 'INIT_model_I_293T_alt')",GIMME,INIT,infected,infected,Calu-3,293T,0.1860209807270066
"('Gimme_model_I_CALU_alt', 'INIT_model_I_A549_alt')",GIMME,INIT,infected,infected,Calu-3,A549,0.26957936323495235
"('Gimme_model_I_CALU_alt', 'INIT_model_I_CALU_alt')",GIMME,INIT,infected,infected,Calu-3,Calu-3,0.2672772689425479
"('Gimme_model_I_CALU_alt', 'INIT_model_I_Lung_alt')",GIMME,INIT,infected,infected,Calu-3,Lung,0.22139153502954298
"('Gimme_model_I_CALU_alt', 'INIT_model_I_NHBE')",GIMME,INIT,infected,infected,Calu-3,HBE,0.24396975879035163
"('Gimme_model_I_CALU_alt', 'tINIT_model_H_293T_alt')",GIMME,tINIT,infected,healthy,Calu-3,293T,0.22240469208211144
"('Gimme_model_I_CALU_alt', 'tINIT_model_H_A549_alt')",GIMME,tINIT,infected,healthy,Calu-3,A549,0.27609656579394765
"('Gimme_model_I_CALU_alt', 'tINIT_model_H_CALU_alt')",GIMME,tINIT,infected,healthy,Calu-3,Calu-3,0.26545202952029523
"('Gimme_model_I_CALU_alt', 'tINIT_model_H_Lung_alt')",GIMME,tINIT,infected,healthy,Calu-3,Lung,0.22942583732057417
"('Gimme_model_I_CALU_alt', 'tINIT_model_H_NHBE')",GIMME,tINIT,infected,healthy,Calu-3,HBE,0.26159990602607774
"('Gimme_model_I_CALU_alt', 'tINIT_model_I_293T_alt')",GIMME,tINIT,infected,infected,Calu-3,293T,0.19050488010603686
"('Gimme_model_I_CALU_alt', 'tINIT_model_I_A549_alt')",GIMME,tINIT,infected,infected,Calu-3,A549,0.2733440662373505
"('Gimme_model_I_CALU_alt', 'tINIT_model_I_CALU_alt')",GIMME,tINIT,infected,infected,Calu-3,Calu-3,0.26856406652611853
"('Gimme_model_I_CALU_alt', 'tINIT_model_I_Lung_alt')",GIMME,tINIT,infected,infected,Calu-3,Lung,0.22709493895934574
"('Gimme_model_I_CALU_alt', 'tINIT_model_I_NHBE')",GIMME,tINIT,infected,infected,Calu-3,HBE,0.2474616292798111
"('Gimme_model_H_293T_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,healthy,Lung,293T,0.7999493221842139
"('Gimme_model_H_A549_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,healthy,Lung,A549,0.7934019066733567
"('Gimme_model_H_CALU_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,healthy,Lung,Calu-3,0.7735334242837654
"('Gimme_model_H_Lung_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,healthy,Lung,Lung,0.835026359778835
"('Gimme_model_H_NHBE_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,healthy,Lung,HBE,0.8082330588980368
"('Gimme_model_I_293T_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,infected,Lung,293T,0.7963696791512208
"('Gimme_model_I_A549_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,infected,Lung,A549,0.8095420823740087
"('Gimme_model_I_CALU_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,infected,infected,Lung,Calu-3,0.800761421319797
"('Gimme_model_I_Lung_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,infected,Lung,HBE,0.8162085795016697
"('Gimme_model_I_Lung_alt', 'IMAT_model_H_293T_alt')",GIMME,iMAT,infected,healthy,Lung,293T,0.2856420626895854
"('Gimme_model_I_Lung_alt', 'IMAT_model_H_A549_alt')",GIMME,iMAT,infected,healthy,Lung,A549,0.26610679368262724
"('Gimme_model_I_Lung_alt', 'IMAT_model_H_CALU_alt')",GIMME,iMAT,infected,healthy,Lung,Calu-3,0.25108064715326667
"('Gimme_model_I_Lung_alt', 'IMAT_model_H_Lung_alt')",GIMME,iMAT,infected,healthy,Lung,Lung,0.2966820987654321
"('Gimme_model_I_Lung_alt', 'IMAT_model_H_NHBE_alt')",GIMME,iMAT,infected,healthy,Lung,HBE,0.27633742253699256
"('Gimme_model_I_Lung_alt', 'iMAT_model_I_293T_alt')",GIMME,iMAT,infected,infected,Lung,293T,0.22849791717716247
"('Gimme_model_I_Lung_alt', 'iMAT_model_I_A549_alt')",GIMME,iMAT,infected,infected,Lung,A549,0.2659801582318222
"('Gimme_model_I_Lung_alt', 'iMAT_model_I_CALU_alt')",GIMME,iMAT,infected,infected,Lung,Calu-3,0.25923125393824825
"('Gimme_model_I_Lung_alt', 'iMAT_model_I_Lung_alt')",GIMME,iMAT,infected,infected,Lung,Lung,0.3779559118236473
"('Gimme_model_I_Lung_alt', 'IMAT_model_I_NHBE_alt')",GIMME,iMAT,infected,infected,Lung,HBE,0.2711606690319311
"('Gimme_model_I_Lung_alt', 'INIT_model_H_293T_alt')",GIMME,INIT,infected,healthy,Lung,293T,0.17481049562682216
"('Gimme_model_I_Lung_alt', 'INIT_model_H_A549_alt')",GIMME,INIT,infected,healthy,Lung,A549,0.24403879064460923
"('Gimme_model_I_Lung_alt', 'INIT_model_H_CALU_alt')",GIMME,INIT,infected,healthy,Lung,Calu-3,0.2212551534585433
"('Gimme_model_I_Lung_alt', 'INIT_model_H_Lung_alt')",GIMME,INIT,infected,healthy,Lung,Lung,0.23085599699210427
"('Gimme_model_I_Lung_alt', 'INIT_model_H_NHBE')",GIMME,INIT,infected,healthy,Lung,HBE,0.21523764594881473
"('Gimme_model_I_Lung_alt', 'INIT_model_I_293T_alt')",GIMME,INIT,infected,infected,Lung,293T,0.1734644331148337
"('Gimme_model_I_Lung_alt', 'INIT_model_I_A549_alt')",GIMME,INIT,infected,infected,Lung,A549,0.2422857142857143
"('Gimme_model_I_Lung_alt', 'INIT_model_I_CALU_alt')",GIMME,INIT,infected,infected,Lung,Calu-3,0.21606425702811244
"('Gimme_model_I_Lung_alt', 'INIT_model_I_Lung_alt')",GIMME,INIT,infected,infected,Lung,Lung,0.2924044136515268
"('Gimme_model_I_Lung_alt', 'INIT_model_I_NHBE')",GIMME,INIT,infected,infected,Lung,HBE,0.21265584568336862
"('Gimme_model_I_Lung_alt', 'tINIT_model_H_293T_alt')",GIMME,tINIT,infected,healthy,Lung,293T,0.1866056096164854
"('Gimme_model_I_Lung_alt', 'tINIT_model_H_A549_alt')",GIMME,tINIT,infected,healthy,Lung,A549,0.2514521894548704
"('Gimme_model_I_Lung_alt', 'tINIT_model_H_CALU_alt')",GIMME,tINIT,infected,healthy,Lung,Calu-3,0.23047447312070327
"('Gimme_model_I_Lung_alt', 'tINIT_model_H_Lung_alt')",GIMME,tINIT,infected,healthy,Lung,Lung,0.2400824942375349
"('Gimme_model_I_Lung_alt', 'tINIT_model_H_NHBE')",GIMME,tINIT,infected,healthy,Lung,HBE,0.2271996324373995
"('Gimme_model_I_Lung_alt', 'tINIT_model_I_293T_alt')",GIMME,tINIT,infected,infected,Lung,293T,0.1785028790786948
"('Gimme_model_I_Lung_alt', 'tINIT_model_I_A549_alt')",GIMME,tINIT,infected,infected,Lung,A549,0.24640796470188936
"('Gimme_model_I_Lung_alt', 'tINIT_model_I_CALU_alt')",GIMME,tINIT,infected,infected,Lung,Calu-3,0.22318083777954364
"('Gimme_model_I_Lung_alt', 'tINIT_model_I_Lung_alt')",GIMME,tINIT,infected,infected,Lung,Lung,0.2955460493205838
"('Gimme_model_I_Lung_alt', 'tINIT_model_I_NHBE')",GIMME,tINIT,infected,infected,Lung,HBE,0.21643518518518517
"('Gimme_model_H_293T_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,healthy,HBE,293T,0.8580392156862745
"('Gimme_model_H_A549_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,healthy,HBE,A549,0.8437741686001546
"('Gimme_model_H_CALU_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,healthy,HBE,Calu-3,0.8558827344662083
"('Gimme_model_H_Lung_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,healthy,HBE,Lung,0.8540449292299701
"('Gimme_model_H_NHBE_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,healthy,HBE,HBE,0.9624896949711459
"('Gimme_model_I_293T_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,infected,HBE,293T,0.8637327677624602
"('Gimme_model_I_A549_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,infected,HBE,A549,0.8562622950819672
"('Gimme_model_I_CALU_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,infected,HBE,Calu-3,0.8428089304257529
"('Gimme_model_I_Lung_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,infected,infected,HBE,Lung,0.8162085795016697
"('Gimme_model_I_NHBE_alt', 'IMAT_model_H_293T_alt')",GIMME,iMAT,infected,healthy,HBE,293T,0.3021619547140847
"('Gimme_model_I_NHBE_alt', 'IMAT_model_H_A549_alt')",GIMME,iMAT,infected,healthy,HBE,A549,0.3079710144927536
"('Gimme_model_I_NHBE_alt', 'IMAT_model_H_CALU_alt')",GIMME,iMAT,infected,healthy,HBE,Calu-3,0.2987828315182575
"('Gimme_model_I_NHBE_alt', 'IMAT_model_H_Lung_alt')",GIMME,iMAT,infected,healthy,HBE,Lung,0.31482929371905133
"('Gimme_model_I_NHBE_alt', 'IMAT_model_H_NHBE_alt')",GIMME,iMAT,infected,healthy,HBE,HBE,0.35484303729541183
"('Gimme_model_I_NHBE_alt', 'iMAT_model_I_293T_alt')",GIMME,iMAT,infected,infected,HBE,293T,0.269644438820701
"('Gimme_model_I_NHBE_alt', 'iMAT_model_I_A549_alt')",GIMME,iMAT,infected,infected,HBE,A549,0.3069050395128903
"('Gimme_model_I_NHBE_alt', 'iMAT_model_I_CALU_alt')",GIMME,iMAT,infected,infected,HBE,Calu-3,0.287369640787949
"('Gimme_model_I_NHBE_alt', 'iMAT_model_I_Lung_alt')",GIMME,iMAT,infected,infected,HBE,Lung,0.30348572871937357
"('Gimme_model_I_NHBE_alt', 'IMAT_model_I_NHBE_alt')",GIMME,iMAT,infected,infected,HBE,HBE,0.3580898268398268
"('Gimme_model_I_NHBE_alt', 'INIT_model_H_293T_alt')",GIMME,INIT,infected,healthy,HBE,293T,0.2179533647456808
"('Gimme_model_I_NHBE_alt', 'INIT_model_H_A549_alt')",GIMME,INIT,infected,healthy,HBE,A549,0.2727166686107547
"('Gimme_model_I_NHBE_alt', 'INIT_model_H_CALU_alt')",GIMME,INIT,infected,healthy,HBE,Calu-3,0.2508498417536045
"('Gimme_model_I_NHBE_alt', 'INIT_model_H_Lung_alt')",GIMME,INIT,infected,healthy,HBE,Lung,0.24153612935826174
"('Gimme_model_I_NHBE_alt', 'INIT_model_H_NHBE')",GIMME,INIT,infected,healthy,HBE,HBE,0.27674591381872216
"('Gimme_model_I_NHBE_alt', 'INIT_model_I_293T_alt')",GIMME,INIT,infected,infected,HBE,293T,0.2150213514192414
"('Gimme_model_I_NHBE_alt', 'INIT_model_I_A549_alt')",GIMME,INIT,infected,infected,HBE,A549,0.26963931364538346
"('Gimme_model_I_NHBE_alt', 'INIT_model_I_CALU_alt')",GIMME,INIT,infected,infected,HBE,Calu-3,0.24970539712467593
"('Gimme_model_I_NHBE_alt', 'INIT_model_I_Lung_alt')",GIMME,INIT,infected,infected,HBE,Lung,0.24092084205342854
"('Gimme_model_I_NHBE_alt', 'INIT_model_I_NHBE')",GIMME,INIT,infected,infected,HBE,HBE,0.2719763284428554
"('Gimme_model_I_NHBE_alt', 'tINIT_model_H_293T_alt')",GIMME,tINIT,infected,healthy,HBE,293T,0.22716516800757217
"('Gimme_model_I_NHBE_alt', 'tINIT_model_H_A549_alt')",GIMME,tINIT,infected,healthy,HBE,A549,0.2788044718229523
"('Gimme_model_I_NHBE_alt', 'tINIT_model_H_CALU_alt')",GIMME,tINIT,infected,healthy,HBE,Calu-3,0.26009227220299885
"('Gimme_model_I_NHBE_alt', 'tINIT_model_H_Lung_alt')",GIMME,tINIT,infected,healthy,HBE,Lung,0.25848917322834647
"('Gimme_model_I_NHBE_alt', 'tINIT_model_H_NHBE')",GIMME,tINIT,infected,healthy,HBE,HBE,0.28698687853617433
"('Gimme_model_I_NHBE_alt', 'tINIT_model_I_293T_alt')",GIMME,tINIT,infected,infected,HBE,293T,0.21972704714640198
"('Gimme_model_I_NHBE_alt', 'tINIT_model_I_A549_alt')",GIMME,tINIT,infected,infected,HBE,A549,0.2737146158290006
"('Gimme_model_I_NHBE_alt', 'tINIT_model_I_CALU_alt')",GIMME,tINIT,infected,infected,HBE,Calu-3,0.25810968494749126
"('Gimme_model_I_NHBE_alt', 'tINIT_model_I_Lung_alt')",GIMME,tINIT,infected,infected,HBE,Lung,0.24745762711864408
"('Gimme_model_I_NHBE_alt', 'tINIT_model_I_NHBE')",GIMME,tINIT,infected,infected,HBE,HBE,0.2749424172626985
"('Gimme_model_H_293T_alt', 'IMAT_model_H_293T_alt')",iMAT,GIMME,healthy,healthy,293T,293T,0.3591138232953038
"('Gimme_model_H_A549_alt', 'IMAT_model_H_293T_alt')",iMAT,GIMME,healthy,healthy,293T,A549,0.28130424001983634
"('Gimme_model_H_CALU_alt', 'IMAT_model_H_293T_alt')",iMAT,GIMME,healthy,healthy,293T,Calu-3,0.2930581613508443
"('Gimme_model_H_Lung_alt', 'IMAT_model_H_293T_alt')",iMAT,GIMME,healthy,healthy,293T,Lung,0.2957516339869281
"('Gimme_model_H_NHBE_alt', 'IMAT_model_H_293T_alt')",iMAT,GIMME,healthy,healthy,293T,HBE,0.3120468133825213
"('Gimme_model_I_293T_alt', 'IMAT_model_H_293T_alt')",iMAT,GIMME,healthy,infected,293T,293T,0.3392169873921699
"('Gimme_model_I_A549_alt', 'IMAT_model_H_293T_alt')",iMAT,GIMME,healthy,infected,293T,A549,0.27471839799749687
"('Gimme_model_I_CALU_alt', 'IMAT_model_H_293T_alt')",iMAT,GIMME,healthy,infected,293T,Calu-3,0.28427925665494724
