reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
EX_M03153;1;0;1;0;4.676315348906671e-45;3.8270760160653317e-34
EX_adrn;0;0;0;0;5.123831069641476e-39;5.046548798757815e-31
EX_arach;0;1;0;1;1.4862439409449649e-36;1.997975818683048e-28
EX_arachd;0;0;0;0;2.0100287320452013e-11;1.1217902384954035e-05
EX_atp;1;0;1;0;4.676315348906671e-45;3.8270760160653317e-34
EX_clpnd;1;0;1;0;4.676315348906671e-45;3.8270760160653317e-34
EX_crvnc;0;0;0;0;4.280849142599595e-05;2.245937928095465e-06
EX_dcsptn1;0;0;0;0;2.2004019426652164e-07;4.512905879435948e-05
EX_ddca;0;0;0;0;2.683544094818534e-15;4.71281544607246e-14
EX_dgmp;1;0;1;0;2.361348858218484e-16;7.566371063299936e-22
EX_dgtp;0;0;0;0;0.013830110863488223;0.010430356907832347
EX_dlnlcg;0;0;0;0;6.781594962933264e-17;3.0875909220190412e-09
EX_doco13ac;0;0;0;0;0.23160306739715616;0.3228829315670096
EX_docosac;0;0;0;0;0.008510669739565192;0.0028648486913756648
EX;0;0;0;0;0.17252707244926768;0.37790001014580543
EX;0;0;0;0;0.17252707244926768;0.37790001014580543
EX_fad;0;0;0;0;0.1649313093187165;0.08445822937711063
EX_fmn;0;0;0;0;0.000996955186217978;2.6032756814825304e-05
EX_galgluside_hs;0;0;0;0;1.0540495739956866e-05;0.0027116589082150635
EX_gluside_hs;1;0;1;0;1.4093748437906185e-18;6.778750119686936e-24
EX_glygn2;0;0;0;0;0.4281234576531984;0.5875911892792818
EX_glygn4;0;0;0;0;0.022022199519403266;0.008113312685686078
EX_h2co3;0;0;0;0;5.874709658097447e-35;2.0552708189682757e-30
EX_hdca;0;0;0;0;8.30314446477189e-27;2.9419737366368386e-26
EX_hdcea;0;0;0;0;0.3176062564623921;0.29552470030419553
EX_hdd2crn;1;0;1;0;4.676315348906671e-45;1.8672092240965256e-38
EX_hexc;0;1;0;1;4.676315348906671e-45;3.8270760160653317e-34
EX_hpdca;0;0;0;0;1.0;0.3700314417610088
EX_lgnc;0;1;0;1;4.676315348906671e-45;3.8270760160653317e-34
EX_lneldc;1;0;1;0;4.676315348906671e-45;3.8270760160653317e-34
EX_lneldccrn;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
EX_lnlccrn;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
EX_lnlncg;0;0;0;0;2.683544094818534e-15;1.9436703097338386e-16
EX_mlthf;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
EX_nh4;0;0;0;0;0.3176062564623921;0.28775964486014377
EX_nicrnt;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
EX_nrvnc;0;0;0;0;2.8179527498959703e-14;4.824353236135979e-16
EX_ocdca;0;0;0;0;3.5889865216738905e-34;7.92034440960003e-31
EX_ocdcea;0;0;0;0;0.0003015351271054552;0.0008119777916667631
EX_pail_hs;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
EX_phpy;0;0;0;0;0.000996955186217978;4.587538628546372e-06
EX_ppi;0;0;0;0;4.676315348906671e-45;3.8270760160653317e-34
EX_prpp;1;0;1;0;4.676315348906671e-45;3.8270760160653317e-34
EX_ptdca;0;0;0;0;0.3176062564623921;0.10647352566836638
EX_ptrc;1;0;1;0;1.4862439409449649e-36;3.7012800408954375e-30
EX_q10;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
EX_strdnc;0;1;0;1;4.676315348906671e-45;3.8270760160653317e-34
EX_sucsal;0;0;0;0;1.4093748437906185e-18;2.6859789091319037e-21
EX_tag_hs;0;0;0;0;0.07866772202120646;0.0020004156217886164
EX_tethex3;1;0;1;0;3.57278546037083e-44;5.9045974936671826e-33
EX_tetpent3;1;0;1;0;4.676315348906671e-45;3.8270760160653317e-34
EX_tetpent6;1;0;1;0;4.676315348906671e-45;3.8270760160653317e-34
EX_tettet6;0;1;0;1;4.676315348906671e-45;3.8270760160653317e-34
EX_tmlys;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
EX_tmndnc;0;0;0;0;0.07866772202120646;0.13461029646856967
EX_ttdca;0;0;0;0;0.3176062564623921;0.29552470030419553
EX_ttdcea;0;0;0;0;0.3176062564623921;0.29552470030419553
EX_vacc;0;0;0;0;0.3176062564623921;0.29552470030419553
FACOAL1813;0;0;0;0;0.3176062564623921;0.29552470030419553
FAEL183;0;0;0;0;5.589912692952131e-11;2.560736718481238e-13
